ID,name,slug,description
Q1060621,Ankara University,ankara-university,Ankara University (<a href='https://www.wikidata.org/wiki/Q1060621'>Q1060621</a>) is a public university based in Ankara. It was founded in 1946.
Q753778,Atatürk University,atatürk-university,Atatürk University (<a href='https://www.wikidata.org/wiki/Q753778'>Q753778</a>) is a public university. It was founded in 1957.
Q192964,Istanbul University,istanbul-university,Istanbul University (<a href='https://www.wikidata.org/wiki/Q192964'>Q192964</a>) is a public university based in Istanbul. It was founded in 1933.
Q156598,Leiden University,leiden-university,Leiden University (<a href='https://www.wikidata.org/wiki/Q156598'>Q156598</a>) is an university based in Leiden. It was founded in 1575.
Q756126,Middle East Technical University,middle-east-technical-university,Middle East Technical University (<a href='https://www.wikidata.org/wiki/Q756126'>Q756126</a>) is a public university based in Ankara. It was founded in 1956.
